TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CAMB3;8,49;14,40;5,88;1,13;0,92;49,47;15,48;16,11;6,12;5,22;-0,90;-0,17;0,95;2,53;-1,88;3,53;19,24;15,69;16,28;0,82;0,18;0,97;19,61;22,63;113.904,48;7,50;1,44;-0,48;358.915.429,20
CAMB4;6,25;;4,33;0,83;0,68;49,47;15,48;16,11;4,51;5,22;-0,90;-0,17;0,70;1,86;-1,39;3,53;19,24;15,69;16,28;0,82;0,18;0,97;19,61;22,63;;7,50;1,44;-0,35;358.915.429,20
CAML3;4,47;6,56;8,03;0,52;0,15;23,09;5,61;1,69;2,42;7,44;5,02;1,08;0,14;0,58;-0,30;1,95;6,46;1,81;4,80;0,28;0,72;1,07;8,28;-15,89;5.885.946,14;8,62;0,56;-0,28;1.571.500.000,00
CASH3;5,32;;-5,50;1,29;1,04;-13,91;-13,91;-20,31;-8,04;-6,25;1,63;-0,26;1,12;4,08;-1,75;2,68;-23,45;-18,87;-32,33;0,80;0,18;0,93;29,70;;9.876.463,05;4,12;-0,97;0,02;543.777.067,44
CASN3;8,77;0,49;27,35;3,84;1,70;50,63;29,44;17,74;16,49;17,62;3,69;0,86;4,85;226,63;-2,03;1,05;14,04;6,20;9,02;0,44;0,56;0,35;13,65;27,77;;2,28;0,32;1,78;8.853.637.450,79
CASN4;6,07;0,78;18,93;2,66;1,17;50,63;29,44;17,74;11,41;17,62;3,69;0,86;3,36;156,86;-1,40;1,05;14,04;6,20;9,02;0,44;0,56;0,35;13,65;27,77;;2,28;0,32;1,23;8.853.637.450,79
CATA3;103,61;6,63;1,27;0,07;0,04;24,36;4,09;4,24;1,32;9,16;7,85;0,44;0,05;0,13;-0,09;1,80;5,79;2,75;1,40;0,48;0,52;0,65;16,54;;;1.405,93;81,36;-0,03;14.940.354,78
CATA4;0,00;;0,00;0,00;0,00;24,36;4,09;4,24;0,00;9,16;7,85;0,44;0,00;0,00;0,00;1,80;5,79;2,75;1,40;0,48;0,52;0,65;16,54;;;1.405,93;81,36;0,00;14.940.354,78
CBAV3;11,09;0,40;12,08;1,43;0,49;13,67;10,34;6,41;7,49;10,52;3,02;0,57;0,77;2,65;-0,76;2,06;11,81;4,04;5,66;0,34;0,64;0,63;10,19;;28.387.400,14;7,78;0,92;0,06;7.226.906.936,70
CBEE3;10,01;;79,82;0,46;0,20;18,58;10,17;0,55;4,30;9,04;4,74;0,50;0,44;-1,80;-0,26;0,64;0,57;0,26;6,60;0,45;0,55;0,47;9,42;3,04;4.056,84;21,95;0,13;-0,87;4.536.771.669,43
CCXC3;1,16;;-0,25;-0,03;2,34;;;;-3,26;-3,21;0,05;;;-0,03;;0,01;-10,66;-946,44;0,81;-88,75;89,75;0,00;;;;-43,93;-4,68;0,00;1.973.425,64
CEAB3;8,78;5,93;4,82;0,71;0,31;56,22;12,03;7,02;2,81;3,01;0,17;0,04;0,34;1,61;-0,60;1,67;14,79;6,45;16,09;0,44;0,56;0,92;14,34;;69.747.995,95;12,34;1,82;0,40;2.734.133.753,16
CEBR3;23,53;21,00;10,16;1,79;1,24;43,60;43,01;34,89;8,24;6,45;-1,85;-0,40;3,54;3,17;-2,34;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;235.783,43;13,12;2,32;-1,36;1.707.622.967,70
CEBR5;22,96;21,52;9,91;1,75;1,21;43,60;43,01;34,89;8,04;6,45;-1,85;-0,40;3,46;3,10;-2,29;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;311.062,71;13,12;2,32;-1,33;1.707.622.967,70
CEBR6;26,79;19,91;11,57;2,04;1,41;43,60;43,01;34,89;9,38;6,45;-1,85;-0,40;4,04;3,61;-2,67;5,89;17,65;12,21;11,92;0,69;0,14;0,35;14,87;-17,34;110.429,10;13,12;2,32;-1,55;1.707.622.967,70
CEDO3;9,00;;-1,62;0,35;0,10;21,93;1,79;-7,04;6,36;31,55;26,34;1,44;0,11;-5,33;-0,16;0,96;-21,39;-5,97;-1,48;0,28;0,72;0,85;6,02;;0,00;25,95;-5,55;0,01;73.686.995,20
CEDO4;5,20;;-0,94;0,20;0,06;21,93;1,79;-7,04;3,67;31,55;26,34;1,44;0,07;-3,08;-0,09;0,96;-21,39;-5,97;-1,48;0,28;0,72;0,85;6,02;;3.862,00;25,95;-5,55;0,01;73.686.995,20
CEEB3;46,20;12,63;8,12;1,46;0,32;28,41;22,16;7,70;2,82;7,74;4,54;2,35;0,62;9,70;-0,40;1,20;17,94;3,93;13,33;0,22;0,78;0,51;10,25;4,12;34.921,10;31,73;5,69;-0,27;13.703.065.180,84
CEEB5;40,00;14,59;7,03;1,26;0,28;28,41;22,16;7,70;2,44;7,74;4,54;2,35;0,54;8,40;-0,34;1,20;17,94;3,93;13,33;0,22;0,78;0,51;10,25;4,12;1.000,00;31,73;5,69;-0,23;13.703.065.180,84
CEEB6;60,68;10,58;10,66;1,91;0,42;28,41;22,16;7,70;3,70;7,74;4,54;2,35;0,82;12,74;-0,52;1,20;17,94;3,93;13,33;0,22;0,78;0,51;10,25;4,12;;31,73;5,69;-0,36;13.703.065.180,84
CEED3;7,30;;-0,67;-0,12;0,05;16,84;5,82;-11,53;1,33;20,15;18,81;;0,08;1,55;-0,07;1,10;-17,21;-7,37;9,85;-0,43;1,43;0,64;12,16;;52,14;-63,17;-10,87;-0,01;500.343.966,80
CEED4;20,00;;-1,84;-0,32;0,14;16,84;5,82;-11,53;3,65;20,15;18,81;;0,21;4,26;-0,20;1,10;-17,21;-7,37;9,85;-0,43;1,43;0,64;12,16;;;-63,17;-10,87;-0,03;500.343.966,80
CEGR3;29,99;;11,62;3,57;1,63;35,52;24,21;14,33;6,88;7,16;0,28;0,14;1,67;-27,83;-2,17;0,81;30,72;14,05;27,96;0,46;0,54;0,98;8,58;13,74;1.499,50;8,40;2,58;0,51;7.786.535.582,68
CEPE3;125,26;;123,99;8,93;2,25;21,60;15,00;3,22;26,61;31,26;5,10;1,71;3,99;36,35;-3,08;1,30;7,20;1,81;10,95;0,25;0,75;0,56;4,82;6,62;;14,02;1,01;-2,66;36.443.231.491,42
CEPE5;40,12;;39,71;2,86;0,72;21,60;15,00;3,22;8,52;31,26;5,10;1,71;1,28;11,64;-0,99;1,30;7,20;1,81;10,95;0,25;0,75;0,56;4,82;6,62;;14,02;1,01;-0,85;36.443.231.491,42
CEPE6;43,00;;42,56;3,07;0,77;21,60;15,00;3,22;9,14;31,26;5,10;1,71;1,37;12,48;-1,06;1,30;7,20;1,81;10,95;0,25;0,75;0,56;4,82;6,62;;14,02;1,01;-0,91;36.443.231.491,42
CESP3;25,55;;360,89;1,85;0,63;24,91;42,83;1,30;10,96;18,14;7,26;1,22;4,70;11,94;-0,69;2,12;0,51;0,17;6,89;0,34;0,66;0,13;-2,26;-57,78;;13,83;0,07;-3,69;8.302.192.833,55
CESP5;25,00;;353,13;1,81;0,61;24,91;42,83;1,30;10,73;18,14;7,26;1,22;4,59;11,68;-0,68;2,12;0,51;0,17;6,89;0,34;0,66;0,13;-2,26;-57,78;;13,83;0,07;-3,61;8.302.192.833,55
CESP6;25,25;;356,66;1,83;0,62;24,91;42,83;1,30;10,83;18,14;7,26;1,22;4,64;11,80;-0,69;2,12;0,51;0,17;6,89;0,34;0,66;0,13;-2,26;-57,78;;13,83;0,07;-3,65;8.302.192.833,55
CGAS3;125,95;9,62;10,84;9,69;1,01;32,89;28,19;14,41;5,54;8,38;2,84;4,97;1,56;5,52;-1,52;2,23;89,41;9,33;19,37;0,10;0,90;0,65;6,86;6,00;23.239,79;12,99;11,62;-0,88;16.690.967.932,65
CGAS5;121,81;10,94;10,49;9,38;0,98;32,89;28,19;14,41;5,36;8,38;2,84;4,97;1,51;5,34;-1,47;2,23;89,41;9,33;19,37;0,10;0,90;0,65;6,86;6,00;68.676,76;12,99;11,62;-0,85;16.690.967.932,65
CGRA3;24,00;21,21;7,22;0,69;0,49;54,57;8,39;11,42;9,82;7,31;-2,51;-0,18;0,82;2,02;-0,84;2,36;9,58;6,74;6,45;0,70;0,30;0,59;10,60;3,58;19.932,30;34,71;3,33;-0,40;611.242.522,20
CGRA4;24,03;21,19;7,22;0,69;0,49;54,57;8,39;11,42;9,83;7,31;-2,51;-0,18;0,82;2,02;-0,84;2,36;9,58;6,74;6,45;0,70;0,30;0,59;10,60;3,58;82.291,67;34,71;3,33;-0,40;611.242.522,20
CIEL3;5,83;;8,70;1,38;0,14;37,28;17,11;16,85;8,57;12,00;3,42;0,55;1,47;1,04;-1,55;1,17;15,88;1,57;4,37;0,10;0,88;0,09;-0,43;30,00;;4,22;0,67;0,24;15.839.031.805,63
CLSA3;10,49;;-24,41;3,06;2,30;33,36;-32,02;-16,96;-12,93;-10,71;2,22;-0,52;4,14;7,90;-4,94;2,19;-12,52;-9,40;-34,71;0,75;0,25;0,55;17,88;;57.778.110,00;3,43;-0,43;-0,08;1.971.344.369,40
CLSC3;129,25;0,38;6,85;1,20;0,34;15,84;11,16;5,86;3,60;7,30;3,44;1,15;0,40;15,37;-0,49;1,08;17,57;5,03;12,90;0,29;0,71;0,86;6,08;7,00;19.554,74;107,37;18,86;-5,61;5.352.937.178,05
CLSC4;145,27;0,37;7,70;1,35;0,39;15,84;11,16;5,86;4,04;7,30;3,44;1,15;0,45;17,28;-0,55;1,08;17,57;5,03;12,90;0,29;0,71;0,86;6,08;7,00;597.864,43;107,37;18,86;-6,30;5.352.937.178,05
CMIG3;15,43;5,34;9,13;1,53;0,65;16,39;15,39;11,15;6,62;7,93;2,67;0,62;1,02;-41,61;-0,82;0,93;16,75;7,10;12,58;0,42;0,58;0,64;11,13;11,05;1.389.856,14;10,09;1,69;-0,30;35.126.901.992,45
CMIG4;10,59;7,78;6,26;1,05;0,44;16,39;15,39;11,15;4,54;7,93;2,67;0,62;0,70;-28,56;-0,56;0,93;16,75;7,10;12,58;0,42;0,58;0,64;11,13;11,05;111.500.959,57;10,09;1,69;-0,20;35.126.901.992,45
CMIN3;5,41;7,10;13,23;4,17;0,86;45,85;27,00;12,51;6,13;6,19;0,06;0,04;1,66;8,54;-1,37;1,37;31,49;6,52;21,50;0,21;0,79;0,52;5,50;-11,17;52.179.397,71;1,30;0,41;-0,35;29.496.001.841,34
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CNSY3;30,22;;-86,19;-23,75;5,37;18,72;7,08;-7,71;93,87;109,95;16,08;;6,65;-28,61;-6,18;0,41;-27,56;-6,23;4,37;-0,23;1,23;0,81;2,97;;;-1,27;-0,35;0,14;935.885.083,86
COCE3;29,03;;5,93;0,45;0,14;20,47;16,51;4,36;1,57;5,44;4,20;1,20;0,26;-0,95;-0,18;0,56;7,54;2,41;12,18;0,32;0,68;0,55;9,35;9,76;34.478,75;64,90;4,90;0,67;1.972.367.692,57
COCE5;33,62;;6,87;0,52;0,17;20,47;16,51;4,36;1,81;5,44;4,20;1,20;0,30;-1,10;-0,21;0,56;7,54;2,41;12,18;0,32;0,68;0,55;9,35;9,76;445.991,33;64,90;4,90;0,77;1.972.367.692,57
COCE6;12,83;;2,62;0,20;0,06;20,47;16,51;4,36;0,69;5,44;4,20;1,20;0,11;-0,42;-0,08;0,56;7,54;2,41;12,18;0,32;0,68;0,55;9,35;9,76;;64,90;4,90;0,29;1.972.367.692,57
COGN3;2,06;6,26;6,33;0,31;0,18;66,92;18,80;8,92;3,00;6,84;3,76;0,39;0,56;2,16;-0,22;1,65;4,94;2,77;6,92;0,56;0,44;0,31;5,90;;52.243.727,29;6,59;0,33;-0,20;4.355.603.013,41
CORR3;2,71;;0,01;0,01;0,00;100,00;2.560,96;2.141,14;0,01;-1,26;-1,41;-2,58;0,19;0,01;-0,02;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CORR4;82,00;;0,27;0,41;0,12;100,00;2.560,96;2.141,14;0,22;-1,26;-1,41;-2,58;5,70;0,20;-0,48;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CPFE3;43,56;8,57;8,72;2,07;0,60;31,30;24,50;12,79;4,55;6,95;2,35;1,07;1,11;20,05;-0,78;1,15;23,72;6,86;15,41;0,29;0,70;0,54;7,50;9,61;53.739.363,76;21,09;5,00;1,08;50.768.330.626,40
CPLE3;14,07;7,55;13,40;1,74;0,68;23,44;19,78;11,20;7,59;11,24;3,62;0,83;1,50;16,55;-0,83;1,30;12,99;5,08;10,53;0,39;0,61;0,45;6,99;-4,30;209.391.786,00;8,09;1,05;4,52;42.206.769.859,48
CPLE5;10,98;;10,45;1,36;0,53;23,44;19,78;11,20;5,92;11,24;3,62;0,83;1,17;12,91;-0,65;1,30;12,99;5,08;10,53;0,39;0,61;0,45;6,99;-4,30;408.011.897,00;8,09;1,05;3,52;42.206.769.859,48
CPLE6;14,22;;13,53;1,76;0,69;23,44;19,78;11,20;7,66;11,24;3,62;0,83;1,52;16,72;-0,84;1,30;12,99;5,08;10,53;0,39;0,61;0,45;6,99;-4,30;121.075.705,00;8,09;1,05;4,56;42.206.769.859,48
CPRE3;18,23;;9,52;2,23;1,03;59,96;48,11;30,42;6,02;6,28;0,26;0,09;2,90;-16,55;-1,25;0,74;23,44;10,78;17,13;0,46;0,53;0,35;10,10;7,48;;8,17;1,91;-3,84;10.824.662.431,07
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
CRFB3;8,48;0,01;9,84;0,83;0,19;18,14;3,75;1,52;3,99;8,47;4,49;0,94;0,15;5,86;-0,36;1,07;8,48;1,89;8,28;0,22;0,76;1,25;14,00;12,41;122.254.636,00;10,16;0,86;0,00;17.884.800.909,28
CRIV3;6,98;;35,10;0,66;0,04;20,26;0,43;0,99;81,37;80,16;;;0,35;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,75;707.929.532,00
CRIV4;6,74;;33,89;0,64;0,04;20,26;0,43;0,99;78,57;80,16;;;0,33;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,72;707.929.532,00
CRPG3;17,00;;-6,13;0,90;0,52;-4,05;-11,55;-9,62;-5,11;-3,59;0,37;-0,06;0,59;1,71;-1,47;1,90;-14,62;-8,52;-17,77;0,58;0,42;0,89;1,63;;1.132,89;18,96;-2,77;0,19;382.042.639,90
CRPG5;11,10;;-4,00;0,59;0,34;-4,05;-11,55;-9,62;-3,33;-3,59;0,37;-0,06;0,39;1,12;-0,96;1,90;-14,62;-8,52;-17,77;0,58;0,42;0,89;1,63;;70.512,33;18,96;-2,77;0,13;382.042.639,90
CRPG6;11,09;;-4,00;0,59;0,34;-4,05;-11,55;-9,62;-3,33;-3,59;0,37;-0,06;0,38;1,12;-0,96;1,90;-14,62;-8,52;-17,77;0,58;0,42;0,89;1,63;;1.503,50;18,96;-2,77;0,13;382.042.639,90
CSAB3;30,50;;12,39;1,11;0,57;-124,00;1.656,27;2.521,73;18,86;24,57;;;312,32;3,54;-0,71;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,02;305.164.800,00
CSAB4;48,97;;19,89;1,78;0,91;-124,00;1.656,27;2.521,73;30,28;24,57;;;501,45;5,68;-1,15;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,03;305.164.800,00
CSAN3;3,36;;-1,40;3,81;0,11;33,63;2,47;-23,92;13,58;61,91;48,30;13,57;0,34;0,90;-0,14;1,87;-272,42;-7,49;-2,25;0,03;0,77;0,31;24,51;;72.486.702,62;0,88;-2,40;0,10;13.367.344.040,84
